"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.6603980031457","100","100","100","100","100","100","100","100","100","93.3562921509542","100","100","100","100","100","100","100","100","","",
"Afghanistan","AFG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","28.5609741210938","34.253246307373","42.4","45.6705551147461","42.7","43.2220189082037","69.1","68.9332656860352","89.5","71.5","97.7","97.7","98.7132034301758","","",
"Angola","AGO","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","25.0560569763184","26.1385898590088","27.1979007720947","28.2321949005127","29.2503795623779","37.5","31.2847576141357","32.3241195678711","33.3937110900879","34.6","35.6665000915527","36.8723831176758","32","42","40.6680183410645","41.9628944396973","43.2592582702637","","",
"Albania","ALB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9","100","100","100","100","100","100","","",
"Andorra","AND","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Arab World","ARB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.2978507128035","78.302779397663","78.980861204439","78.4793636989698","80.0230468842826","77.99911115703","79.3063105601193","79.5371839854357","80.5747275507832","84.6212058977181","82.9268784401299","83.6449921024328","84.270921268469","86.9599909576562","87.1994742750379","87.512260241612","88.1298813326297","87.2753225116713","88.7200973716188","89.3086016965609","90.2836375587196","89.286856223316","","",
"United Arab Emirates","ARE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.5110634674458","96.10791015625","96.384895324707","96.6386489868164","96.8673934936523","97.0800247192383","97.2881317138672","97.5032958984375","97.7371063232422","98.82","99.278694152832","99.4978561401367","99.4765548706055","100","99.8271179199219","99.9591217041016","100","100","","",
"Armenia","ARM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9","100","98","99.2390213012695","99.2913589477539","99.8","99.3298950195313","99.3365783691406","99.3503265380859","99.3827133178711","99.8","99.8304901123047","99.8970260620117","99.894287109375","99.9572830200195","100","100","100","100","","",
"American Samoa","ASM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.2","100","100","100","98.3703689575195","98.488655090332","94.5520140336941","100","100","100","100","100","100","100","","",
